iter	Passed	Remaining
815	6477	1460
816	6482	1452
817	6486	1443
818	6495	1435
819	6502	1427
820	6507	1418
821	6513	1410
822	6521	1402
823	6526	1393
824	6530	1385
825	6534	1376
826	6537	1367
827	6545	1359
828	6559	1353
829	6563	1344
830	6569	1336
831	6573	1327
832	6577	1318
833	6581	1309
834	6584	1301
835	6588	1292
836	6593	1284
837	6597	1275
838	6601	1266
839	6604	1257
840	6607	1249
841	6611	1240
842	6615	1232
843	6619	1223
844	6622	1214
845	6626	1206
846	6629	1197
847	6632	1188
848	6638	1180
849	6641	1172
850	6644	1163
851	6648	1154
852	6651	1146
853	6654	1137
854	6660	1129
855	6665	1121
856	6669	1112
857	6672	1104
858	6675	1095
859	6679	1087
860	6694	1080
861	6699	1072
862	6703	1064
863	6712	1056
864	6717	1048
865	6722	1040
866	6726	1031
867	6731	1023
868	6742	1016
869	6747	1008
870	6752	1000
871	6762	992
872	6766	984
873	6769	975
874	6772	967
875	6775	959
876	6780	950
877	6784	942
878	6787	934
879	6791	926
880	6794	917
881	6797	909
882	6800	901
883	6806	893
884	6809	884
885	6813	876
886	6816	868
887	6819	860
888	6823	852
889	6829	844
890	6834	836
891	6838	827
892	6843	819
893	6847	811
894	6853	804
895	6858	796
896	6864	788
897	6869	780
898	6882	773
899	6894	766
900	6910	759
901	6915	751
902	6920	743
903	6929	735
904	6934	727
905	6938	719
906	6943	711
907	6953	704
908	6958	696
909	6962	688
910	6967	680
911	6974	673
912	6980	665
913	6984	657
914	6989	649
915	6993	641
916	7002	633
917	7006	625
918	7010	617
919	7014	609
920	7018	602
921	7026	594
922	7030	586
923	7035	578
924	7040	570
925	7048	563
926	7055	555
927	7064	548
928	7071	540
929	7075	532
930	7080	524
931	7084	516
932	7097	509
933	7101	501
934	7106	494
935	7110	486
936	7124	479
937	7129	471
938	7133	463
939	7140	455
940	7146	448
941	7155	440
942	7164	433
943	7173	425
944	7180	417
945	7189	410
946	7195	402
947	7199	394
948	7204	387
949	7222	380
950	7230	372
951	7248	365
952	7263	358
953	7272	350
954	7277	342
955	7287	335
956	7292	327
957	7296	319
958	7301	312
959	7307	304
960	7315	296
961	7319	289
962	7323	281
963	7327	273
964	7337	266
965	7347	258
966	7350	250
967	7357	243
968	7363	235
969	7371	227
970	7381	220
971	7387	212
972	7396	205
973	7403	197
974	7409	189
975	7414	182
976	7419	174
977	7424	167
978	7432	159
979	7436	151
980	7441	144
981	7446	136
982	7451	128
983	7457	121
984	7461	113
985	7465	105
986	7468	98
987	7471	90
988	7477	83
989	7480	75
990	7484	67
991	7487	60
992	7490	52
993	7493	45
994	7497	37
995	7502	30
996	7506	22
997	7510	15
998	7513	7
999	7517	0
